algo,env_id,train_seed,n_episodes,reached_at_all_rate,reached_within_time_fraction_rate,avg_steps_to_reach,avg_min_distance,avg_final_distance
ddpg,Pusher-v5,0,50,0.0,0.0,,0.1390119780483364,0.1390119780483364
ddpg,Pusher-v5,1,50,0.36,0.36,81.44444444444444,0.05986558249488439,0.06715075599878548
ddpg,Pusher-v5,2,50,0.42,0.42,75.23809523809524,0.06828529962413704,0.07557463323058174
td3,Pusher-v5,0,50,0.0,0.0,,0.05346282322071899,0.05350977875313252
td3,Pusher-v5,1,50,0.64,0.64,73.1875,0.01699749527028088,0.020960759530825747
td3,Pusher-v5,2,50,0.08,0.08,83.0,0.03149510618453415,0.03149527546973751
sac,Pusher-v5,0,50,0.78,0.78,72.58974358974359,0.015347803869826582,0.01596220024018323
sac,Pusher-v5,1,50,0.72,0.72,80.38888888888889,0.01372081266639293,0.013957717054486542
sac,Pusher-v5,2,50,0.0,0.0,,0.0301499221992111,0.032743610072540834
ppo,Pusher-v5,0,50,0.24,0.24,81.25,0.03702376228739496,0.041317858163556764
ppo,Pusher-v5,1,50,0.0,0.0,,0.10506898041857765,0.11747500416440343
ppo,Pusher-v5,2,50,0.18,0.18,86.0,0.04374449293899805,0.04522285203087839
ddpg,Pusher-v5,3,50,0.0,0.0,,0.07730541783131276,0.08246737493224078
ddpg,Pusher-v5,4,50,0.0,0.0,,0.07039536793059248,0.0829045688047227
ddpg,Pusher-v5,5,50,0.12,0.12,98.33333333333333,0.1029074381395286,0.10598483835969053
td3,Pusher-v5,3,50,0.36,0.36,61.333333333333336,0.028575604832100344,0.028865912299540133
td3,Pusher-v5,4,50,0.2,0.2,79.4,0.022347901856363196,0.02268467608093044
td3,Pusher-v5,5,50,0.06,0.06,71.0,0.029148571446316076,0.029345594153483666
sac,Pusher-v5,3,50,0.48,0.48,75.125,0.02233945318456926,0.022731607149416234
sac,Pusher-v5,4,50,0.44,0.44,70.5909090909091,0.029196794837974157,0.02983468763644368
sac,Pusher-v5,5,50,0.4,0.4,85.25,0.028208595986525496,0.02851192506638291
ppo,Pusher-v5,3,50,0.12,0.12,57.166666666666664,0.03859912022626067,0.04045329481517321
ppo,Pusher-v5,4,50,0.42,0.42,71.38095238095238,0.04952364073417008,0.0583732559429714
ppo,Pusher-v5,5,50,0.2,0.2,79.0,0.042297094230638585,0.04622341310305361
ddpg,Pusher-v5,0,50,0.02,0.02,86.0,0.09460420087336079,0.10535669168868299
ddpg,Pusher-v5,1,50,0.24,0.24,83.66666666666667,0.07010359037621472,0.07723044488504281
ddpg,Pusher-v5,2,50,0.04,0.04,71.5,0.11645722775290804,0.12955558507672105
sac,Pusher-v5,0,50,0.9,0.9,62.422222222222224,0.009778569197020012,0.013093214696301855
sac,Pusher-v5,1,50,0.94,0.94,70.29787234042553,0.010447073933080107,0.01153778737209716
sac,Pusher-v5,2,50,0.76,0.76,71.8157894736842,0.011250525047637152,0.018481498392915977
