algo,env_id,train_seed,n_episodes,reached_at_all_rate,reached_within_time_fraction_rate,avg_steps_to_reach,avg_min_distance
ddpg,Pusher-v5,0,50,0.0,0.0,,0.10688806522743269
ddpg,Pusher-v5,1,50,0.0,0.0,,0.16580098551885147
ddpg,Pusher-v5,2,50,0.0,0.0,,0.11521255694591494
td3,Pusher-v5,0,50,0.14,0.14,92.14285714285714,0.02853713097082487
td3,Pusher-v5,1,50,0.02,0.02,92.0,0.04261022780096004
td3,Pusher-v5,2,50,0.86,0.86,83.76744186046511,0.01879340911411689
sac,Pusher-v5,0,50,0.28,0.28,60.5,0.027506424526012537
sac,Pusher-v5,1,50,0.48,0.48,76.29166666666667,0.019398739890338655
sac,Pusher-v5,2,50,0.36,0.36,82.16666666666667,0.021148962412020272
ppo,Pusher-v5,0,50,0.06,0.06,67.33333333333333,0.053112119996361694
ppo,Pusher-v5,1,50,0.26,0.26,76.0,0.07818341903777946
ppo,Pusher-v5,2,50,0.46,0.46,90.34782608695652,0.03513976617100184
